title,price,price_label,mileage,first_registration,transmission,fuel_type,power,consumption,cO2_emissions
Citroen Berlingo Kasten Club M L1 BlueHDi 100 + SHZ,12440.0,Guter Preis,136010.0,11/2021,Schaltgetriebe,Diesel,75 kW (102 PS),"4,0 l/100 km (komb.)",106 g/km (komb.)
Citroen Berlingo Kasten Club M/L1,12480.0,Fairer Preis,68000.0,03/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
Citroen Berlingo Kasten Worker XL L2 1.5 BlueHDi 100 FAP TEMP+CAM+P,12490.0,Guter Preis,118500.0,01/2020,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
"Citroen Berlingo Driver M, Kawa,",12500.0,Sehr guter Preis,83000.0,02/2020,Schaltgetriebe,Diesel,75 kW (102 PS),"4,2 l/100 km (komb.)",112 g/km (komb.)
Citroen Berlingo Club M/L1*Klima*Tempomat*Tüv neu*Garantie*,12590.0,Sehr guter Preis,81700.0,12/2021,Schaltgetriebe,Diesel,75 kW (102 PS),"4,0 l/100 km (komb.)",106 g/km (komb.)
Citroen Berlingo Kasten Driver M/L1 Kamera/Klima/1.Hd.,12790.0,Keine Angabe,33824.0,10/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
Citroen Berlingo Kasten Club XL/L2 Klima Fenster el.,12900.0,Keine Angabe,80500.0,03/2021,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Club M / TÜV bis 11/26,12900.0,Sehr guter Preis,58000.0,04/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
Citroen Berlingo Blue HD Club M/L,12900.0,Fairer Preis,68000.0,01/2020,Schaltgetriebe,Diesel,55 kW (75 PS),- (l/100 km),- (g/km)
Citroen Berlingo 1.2i Kasten Club M/L1*Klima+AHK+1.Hand*,12900.0,Sehr guter Preis,76000.0,02/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
Citroen Berlingo Club M/L1 3 SITZER*KLIMA*TEMPO*BLUETOOTH,12990.0,Guter Preis,93250.0,01/2020,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
Citroen Berlingo Kasten Club M/L1 Klima,12990.0,Erhöhter Preis,88500.0,04/2020,Schaltgetriebe,Diesel,55 kW (75 PS),- (l/100 km),- (g/km)
Citroen Berlingo Berlingo Kombi 5-Türer M PureTech 110 FEEL,13000.0,Keine Angabe,58600.0,05/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,4 l/100 km (komb.)",- (g/km)
Citroen Berlingo L1 1.6 BlueHDi 100 S,13000.0,Erhöhter Preis,73800.0,02/2017,Schaltgetriebe,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",110 g/km (komb.)
Citroen Berlingo Club M/L1,13090.0,Guter Preis,127176.0,03/2022,Schaltgetriebe,Diesel,75 kW (102 PS),"4,0 l/100 km (komb.)",106 g/km (komb.)
Citroen Berlingo Kasten Worker XL/L2*KAMERA*APPLE-CARPLY,13250.0,Guter Preis,98110.0,02/2020,Schaltgetriebe,Diesel,75 kW (102 PS),"4,2 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo Kasten BlueHDi 130 Club XL|Regalsystem|,13388.0,Keine Angabe,82900.0,08/2019,Schaltgetriebe,Diesel,96 kW (131 PS),"4,4 l/100 km (komb.)",156 g/km (komb.)
Citroen Berlingo 1.5 HDI Club XL/L2 NAVI/WIRLE/KLIMA/AHK,13490.0,Erhöhter Preis,141000.0,03/2019,Automatik,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Kasten Club 1-Hand Scheckheft Kamera,13499.0,Fairer Preis,78000.0,11/2019,Schaltgetriebe,Diesel,56 kW (76 PS),"4,2 l/100 km (komb.)",112 g/km (komb.)
Citroen Berlingo Kasten Worker M L1 1.2 PureTech 110 EU6d,13590.0,Guter Preis,94000.0,04/2021,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo 1.5 Club XL/L2 Klima/Multiflex/PDC/Allwetter,13780.0,Fairer Preis,135083.0,06/2022,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
Citroen Berlingo Club M 1-Hand/TÜV/Klima/Rückfahrkamera,13800.0,Sehr guter Preis,92654.0,08/2022,Schaltgetriebe,Diesel,75 kW (102 PS),"4,0 l/100 km (komb.)",106 g/km (komb.)
Citroen Berlingo 1.5 BlueHDI Driver M Kamera+Navi,13880.0,Sehr guter Preis,103908.0,05/2020,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo 1.2 Puretech 110 Klima Radio Unfallfrei 2. Hand,13900.0,Guter Preis,40000.0,10/2020,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
"Citroen Berlingo Kasten Business L1, BENZINER",13950.0,Keine Angabe,62190.0,07/2017,Schaltgetriebe,Benzin,72 kW (98 PS),"6,5 l/100 km (komb.)",154 g/km (komb.)
Citroen Berlingo Kasten Club 1.5HDI*Klima*Kamera*Shz*Tem,13990.0,Keine Angabe,42993.0,02/2022,Schaltgetriebe,Diesel,96 kW (131 PS),"4,4 l/100 km (komb.)",117 g/km (komb.)
"Citroen Berlingo 1.5 HDI Kasten Driver M/L1, Navi",13990.0,Guter Preis,96000.0,09/2019,Schaltgetriebe,Diesel,96 kW (131 PS),"4,5 l/100 km (komb.)",119 g/km (komb.)
Citroen Berlingo Kasten Worker XL L2 1.5 PDC-KLIMA-AHK+KAMERA+ALLWE,13990.0,Fairer Preis,119500.0,05/2020,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
